OBJECTID,AGENCY,DIV,UNIT_NAME,ADDRESS,CITY,AREA_SQKM,Shape__Area,Shape__Length
1,Toronto Police Service,D11,11 Division,2054 Davenport Rd,Toronto,18.6784580320036,35692935.0742188,28190.1110602256
2,Toronto Police Service,D12,12 Division,200 Trethewey Dr,Toronto,24.7803433199,47417573.6835938,33029.1345728748
3,Toronto Police Service,D13,13 Division,1435 Eglinton Av W,Toronto,18.6019106335928,35591722.9296875,24616.5791738494
4,Toronto Police Service,D14,14 Division,350 Dovercourt Rd,Toronto,14.1752541497727,27083979.140625,30017.705644045
5,Toronto Police Service,D22,22 Division,3699 Bloor St W,Toronto,68.1218838621471,130097609.085938,72765.0318878743
6,Toronto Police Service,D23,23 Division,5230 Finch Av W,Toronto,57.6422800767643,110369052.332031,54270.0536061686
7,Toronto Police Service,D31,31 Division,40 Norfinch Dr,Toronto,42.6674944718192,81789149.8515625,44477.1465567728
8,Toronto Police Service,D32,32 Division,30 Ellerslie Av,Toronto,61.0604802661605,117079222.863281,43658.4972452213
9,Toronto Police Service,D33,33 Division,50 Upjohn Rd,Toronto,52.7888815010119,101244281.867188,45148.8487375898
10,Toronto Police Service,D41,41 Division,2222 Eglinton Av E,Toronto,44.5751123854247,85395988.8046875,58875.0541541063
11,Toronto Police Service,D42,42 Division,242 Milner Av E,Toronto,84.6117488505599,162528804.878906,59824.0915489743
12,Toronto Police Service,D43,43 Division,4331 Lawrence Av E,Toronto,59.3700047359934,113873893.730469,54424.5071092564
13,Toronto Police Service,D51,51 Division,51 Parliament St,Toronto,8.60168284146648,16437802.0976563,25324.506203993
14,Toronto Police Service,D52,52 Division,255 Dundas St W,Toronto,9.22805577194705,17625448.2070313,35966.5444668279
15,Toronto Police Service,D53,53 Division,75 Eglinton Av W,Toronto,31.2948530198609,59895251.8085938,37395.4601520573
16,Toronto Police Service,D55,55 Division,101 Coxwell Av,Toronto,41.0339863263235,78486159.8007813,82307.8029590849
